city,hightest_tem,lowest_tem,weather,date,wind_direction,wind_level,weekday
北京,22,9,晴,2022-04-30,北风,2级,星期六
北京,20,11,阴,2022-04-29,北风,1级,星期五
北京,14,8,晴,2022-04-28,南风,2级,星期四
北京,13,8,雨,2022-04-27,北风,1级,星期三
北京,15,2,晴,2022-04-26,西北风,2级,星期二
北京,29,18,晴,2022-04-25,东风,2级,星期一
北京,27,14,多云,2022-04-24,东风,2级,星期天
北京,29,15,晴,2022-04-23,西南风,1级,星期六
北京,25,10,多云,2022-04-22,北风,1级,星期五
北京,31,16,多云,2022-04-21,东南风,2级,星期四
北京,29,17,多云,2022-04-20,南风,3级,星期三
北京,24,8,晴,2022-04-19,西风,1级,星期二
北京,23,10,晴,2022-04-18,南风,2级,星期一
北京,21,9,多云,2022-04-17,北风,2级,星期天
北京,23,11,晴,2022-04-16,西风,2级,星期六
北京,19,6,晴,2022-04-15,西北风,2级,星期五
北京,21,8,晴,2022-04-14,东北风,2级,星期四
北京,16,3,晴,2022-04-13,东北风,1级,星期三
北京,23,14,阴,2022-04-12,西北风,1级,星期二
北京,28,14,多云,2022-04-11,西北风,2级,星期一
北京,26,14,多云,2022-04-10,东北风,2级,星期天
北京,26,11,多云,2022-04-09,东南风,1级,星期六
北京,25,12,晴,2022-04-08,南风,1级,星期五
北京,24,9,晴,2022-04-07,南风,1级,星期四
北京,14,4,晴,2022-04-06,南风,3级,星期三
北京,24,7,多云,2022-04-05,东南风,2级,星期二
北京,22,10,多云,2022-04-04,西南风,2级,星期一
北京,20,9,多云,2022-04-03,东风,3级,星期天
北京,19,4,晴,2022-04-02,西南风,2级,星期六
北京,15,4,多云,2022-04-01,东南风,2级,星期五
北京,15,2,多云,2022-03-31,东风,1级,星期四
北京,10,3,多云,2022-03-30,东北风,2级,星期三
北京,12,6,雨,2022-03-29,东北风,1级,星期二
北京,18,9,多云,2022-03-28,西风,1级,星期一
北京,16,6,晴,2022-03-27,东南风,1级,星期天
北京,20,3,多云,2022-03-26,西北风,4级,星期六
北京,14,6,多云,2022-03-25,西北风,1级,星期五
北京,9,7,多云,2022-03-24,北风,1级,星期四
北京,12,3,多云,2022-03-23,东北风,1级,星期三
北京,9,1,多云,2022-03-22,南风,1级,星期二
北京,12,1,多云,2022-03-21,东北风,2级,星期一
北京,10,1,多云,2022-03-20,西风,2级,星期天
北京,6,-1,雪,2022-03-19,南风,2级,星期六
北京,2,-2,雪,2022-03-18,北风,1级,星期五
北京,3,-2,雪,2022-03-17,东风,2级,星期四
北京,12,2,多云,2022-03-16,南风,2级,星期三
北京,15,6,多云,2022-03-15,东北风,1级,星期二
北京,20,5,多云,2022-03-14,东南风,2级,星期一
北京,11,4,多云,2022-03-13,南风,2级,星期天
北京,13,5,多云,2022-03-12,南风,1级,星期六
北京,12,5,多云,2022-03-11,东南风,1级,星期五
北京,19,7,晴,2022-03-10,北风,1级,星期四
北京,17,4,多云,2022-03-09,西北风,2级,星期三
北京,16,2,晴,2022-03-08,北风,1级,星期二
北京,18,2,晴,2022-03-07,东南风,2级,星期一
北京,11,-1,多云,2022-03-06,东北风,2级,星期天
北京,10,-2,晴,2022-03-05,东南风,1级,星期六
北京,11,-1,霾,2022-03-04,西北风,1级,星期五
北京,11,0,多云,2022-03-03,西南风,1级,星期四
北京,16,0,晴,2022-03-02,北风,1级,星期三
北京,11,-1,晴,2022-03-01,西南风,2级,星期二
北京,12,-1,阴,2022-02-28,西北风,3级,星期一
北京,16,-2,晴,2022-02-27,东北风,1级,星期天
北京,12,-2,晴,2022-02-26,西风,2级,星期六
北京,14,0,多云,2022-02-25,北风,2级,星期五
北京,11,-5,晴,2022-02-24,西风,1级,星期四
北京,7,-6,晴,2022-02-23,西风,1级,星期三
北京,4,-7,晴,2022-02-22,东北风,3级,星期二
北京,4,-8,多云,2022-02-21,西北风,3级,星期一
北京,4,-7,晴,2022-02-20,西风,2级,星期天
北京,1,-9,晴,2022-02-19,西北风,3级,星期六
北京,4,-6,多云,2022-02-18,西北风,3级,星期五
北京,0,-7,多云,2022-02-17,南风,1级,星期四
北京,0,-9,晴,2022-02-16,北风,2级,星期三
北京,-2,-10,多云,2022-02-15,西北风,2级,星期二
北京,-1,-10,多云,2022-02-14,北风,2级,星期一
北京,-3,-6,雪,2022-02-13,西北风,1级,星期天
北京,1,-2,多云,2022-02-12,东风,2级,星期六
北京,8,-3,多云,2022-02-11,东南风,2级,星期五
北京,10,-3,阴,2022-02-10,西北风,1级,星期四
北京,7,-5,多云,2022-02-09,北风,2级,星期三
北京,8,-5,晴,2022-02-08,北风,1级,星期二
北京,6,-5,多云,2022-02-07,西北风,1级,星期一
北京,6,-5,多云,2022-02-06,西风,1级,星期天
北京,3,-5,晴,2022-02-05,西北风,2级,星期六
北京,0,-6,晴,2022-02-04,西北风,1级,星期五
北京,3,-6,多云,2022-02-03,西北风,3级,星期四
北京,4,-7,晴,2022-02-02,西南风,2级,星期三
北京,2,-7,晴,2022-02-01,西南风,2级,星期二
北京,3,-5,晴,2022-01-31,西北风,4级,星期一
北京,3,-3,霾,2022-01-30,西北风,2级,星期天
北京,-1,-9,晴,2022-01-29,北风,1级,星期六
北京,4,-2,阴,2022-01-28,南风,1级,星期五
北京,3,-5,多云,2022-01-27,西北风,3级,星期四
北京,3,-5,多云,2022-01-26,北风,1级,星期三
北京,5,-4,晴,2022-01-25,北风,4级,星期二
北京,7,-5,阴,2022-01-24,北风,1级,星期一
北京,1,-4,阴,2022-01-23,东南风,2级,星期天
北京,1,-4,多云,2022-01-22,北风,1级,星期六
北京,0,-4,雪,2022-01-21,东南风,2级,星期五
北京,-2,-5,多云,2022-01-20,东南风,1级,星期四
北京,-2,-7,多云,2022-01-19,南风,2级,星期三
北京,3,-9,多云,2022-01-18,西北风,2级,星期二
北京,6,-8,多云,2022-01-17,南风,2级,星期一
北京,0,-9,晴,2022-01-16,南风,1级,星期天
